place_name,latitude,longitude,rating,review_text
"Wild Zebra Coffee",7.079623,125.5950943,5,"This is my 2nd time here. I tried their Bombon Latte (their own Spanish version) and their Coconut bliss (shaken espresso with coconut) I really like the variation of coffees they have. Wifi is good and lots of sockets for people who have to study or work. Their staff is really kind and helped us choose the perfect coffee that will suit our palate. Their lemon cake was also good."
"Wild Zebra Coffee",7.079623,125.5950943,5,"Coffee is good, there is free wifi and plugs to charge, good for working/studying."
"Wild Zebra Coffee",7.079623,125.5950943,3,"Unimpressive at ten o’clock in the morning. Three people seated. Two staff at the counter. The cafe’s dining area looks squeaky-clean alright….Waited a while for my pasta only to find out that the cashier missed taking down my order… She was not even apologetic. So, the serving time altogether took longer than expected. It was quiet but later one staff was indiscreetly on a loudspeaker phone call at the side. She went back through a door when I glared at her…The penne arrabbiata, wedges and spanish latte were all satisfactory…….Prices complemented the serving sizes…I always make it a habit to pay using GCash for most cafés do not have a petty cash fund. And to my dismay paying twice was the norm here—- separately for food and for coffee…."
"Wild Zebra Coffee",7.079623,125.5950943,5,"ngl they deserve a higher rating. their staffs are welcoming and friendly, their drinks are surprisingly cheap for a good coffee, and this place is absolutely perfect for studying."
"Wild Zebra Coffee",7.079623,125.5950943,5,"Not your usual light aesthetic cafe colors. This place has dark green walls, looks elegant! coffee was 💯 must try their viet coffee!"
"Wild Zebra Coffee",7.079623,125.5950943,5,"Love their spanish latte and their pastries! Place is also very tidy and chill, they offer unli wifi here which is perfect place for students like me to stay at."
"Wild Zebra Coffee",7.079623,125.5950943,5,"We are glad to find a nearest coffee shop from home. I'm convinced their coffee holds the secret to eternal happiness! We'd like to visit every day. We ordered Coffee Bombon and Viatnamese Latte with wedges on the side and it made us want to taste other flavours soon."
"Wild Zebra Coffee",7.079623,125.5950943,5,"Their blueberry iced tea is a definite winner! The place is incredibly spacious, making it an ideal spot for reading or study sessions."
"Wild Zebra Coffee",7.079623,125.5950943,1,"At the time of our visit, all we wanted to order were not available so we settled for Pizza and Pasta. Pizza was not commendable, the pasta was average too. Drinks were creative, Unicorn was too sweet but my son liked it and Banana Oat Latte was too bitter for me but my husband liked it. My first cake order, which was Salted Caramel, tasted moldy, but the burnt cheesecake was good. Overall I think their offering was overrated and overpriced. While I am not satisfied with the food, I was grateful for their free wifi and their staff was OK too."
"Wild Zebra Coffee",7.079623,125.5950943,5,"Their coffee is top tier, haven't tried their food but they have a lot of options and variety for both drinks and food. Atmosphere and vibe is unique compared to the light minimalistic cafes, there's also good WIFI here so great for studying. Service is good too. Definitely coming back :))"
"Wild Zebra Coffee",7.079623,125.5950943,5,"Truly one of Davao's finest cafes. They have a wide array of drinks, each done with the best of care. It's rare to have a cafe that can cater to both casual coffee drinkers and hardcore coffee snobs."
"Wild Zebra Coffee",7.079623,125.5950943,5,"Always a good place to unwind and relax"
"Wild Zebra Coffee",7.079623,125.5950943,5,"Since the rise of MilkTea, I rarely find a legit NaiCha vibes. I love how this Vietnamese Coffee reminded me of a perfect blend of coffee and milk."
"Wild Zebra Coffee",7.079623,125.5950943,5,"Great Iced Coffee, I tried Cafe bombon it was great! The place has also cosy atmosphere, a must visit!"
"Wild Zebra Coffee",7.079623,125.5950943,5,"Staffs are very nice. Food and drinks, highly recommended!"
"Wild Zebra Coffee",7.079623,125.5950943,5,"It's not your usual hotel cafe. They are serious about their coffee here. Lots of meal options, too. Limited parking, though"
"Wild Zebra Coffee",7.079623,125.5950943,5,"Very Accommodating staffs❤️"
"Wild Zebra Coffee",7.079623,125.5950943,2,"coffee is pricey and doesn’t taste good"
"Wild Zebra Coffee",7.079623,125.5950943,3,"A bit overpriced for its taste. The table is wobbly."
"Wild Zebra Coffee",7.079623,125.5950943,4,"Good cafe"
"Wild Zebra Coffee",7.079623,125.5950943,5,"Nice place"
"Wild Zebra Coffee",7.079623,125.5950943,5,"thank you for your good service... especially the personnel are so very generous, 🙂🙂🤗🤗"
"Wild Zebra Coffee",7.079623,125.5950943,5,"I like the spanish latte here and the tuna sandwich 🥳🥳🥳❤️❤️❤️ try it"
"Wild Zebra Coffee",7.079623,125.5950943,5,""
"Wild Zebra Coffee",7.079623,125.5950943,4,""
"Wild Zebra Coffee",7.079623,125.5950943,5,""
"Wild Zebra Coffee",7.079623,125.5950943,5,""
"Wild Zebra Coffee",7.079623,125.5950943,5,""
"Wild Zebra Coffee",7.079623,125.5950943,5,""
"Wild Zebra Coffee",7.079623,125.5950943,5,""
"Wild Zebra Coffee",7.079623,125.5950943,5,""
"Wild Zebra Coffee",7.079623,125.5950943,4,""
"Wild Zebra Coffee",7.079623,125.5950943,5,""
"Wild Zebra Coffee",7.079623,125.5950943,5,""
"Wild Zebra Coffee",7.079623,125.5950943,5,""
